Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Total_Spending,Age,Customer_Tenure,Children,Purchase_Frequency,Campaign_Engagement,Customer_Value_Score,Deal_Engagement,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Household_Type_Partner
58138.0,58,635,88,546,172,88,88,8,10,4,7,0,1617,69,13.9,0,22,1,0.5090608465608465,3,0,1,0,0,0
46344.0,38,11,1,6,2,1,6,1,1,2,5,0,27,72,12.4,2,4,0,0.044576719576719576,2,0,1,0,0,0
71613.0,26,426,49,127,111,21,42,8,2,10,4,0,776,61,12.9,0,20,0,0.3103174603174603,1,0,1,0,0,1
26646.0,26,11,4,20,10,3,5,2,0,4,6,0,53,42,12.5,1,6,0,0.06884920634920634,2,0,1,0,0,1
58293.0,94,173,43,118,46,27,15,5,3,6,5,0,422,45,12.5,1,14,0,0.20099206349206347,5,0,0,0,1,1
62513.0,16,520,42,98,0,42,14,6,4,10,6,0,716,59,12.9,1,20,0,0.30238095238095236,2,0,0,1,0,1
55635.0,34,235,65,164,50,49,27,7,3,7,6,0,590,55,13.7,1,17,0,0.25446428571428575,4,0,1,0,0,0
33454.0,32,76,10,56,3,1,23,4,0,4,8,0,169,41,13.2,1,8,0,0.10502645502645502,2,0,0,0,1,1
30351.0,19,14,0,24,3,3,2,3,0,2,9,0,46,52,13.1,1,5,1,0.12417328042328042,1,0,0,0,1,1
5648.0,68,28,0,6,1,1,13,1,0,0,20,0,49,76,12.4,2,1,1,0.08290343915343916,1,0,0,0,1,1
51381.5,11,5,5,6,0,2,1,1,0,2,7,0,19,43,12.7,1,3,0,0.03310185185185185,1,0,1,0,0,1
7500.0,59,6,16,11,11,1,16,2,0,3,8,0,61,50,13.7,0,5,0,0.05949074074074074,1,1,0,0,0,1
63033.0,82,194,61,480,225,112,30,3,4,8,2,0,1102,67,12.7,0,15,0,0.3013558201058201,1,0,1,0,0,0
59354.0,53,233,2,53,3,5,14,6,1,5,6,0,310,74,12.7,2,12,0,0.16534391534391535,3,0,0,1,0,0
17323.0,38,3,14,17,6,1,5,1,0,3,8,0,46,39,13.8,0,4,0,0.04708994708994709,1,0,1,0,0,1
82800.0,23,1006,22,115,59,68,45,7,6,12,3,0,1315,80,13.7,0,25,3,0.63369708994709,1,0,0,0,1,0
41850.0,51,53,5,19,2,13,4,3,0,3,8,0,96,46,13.6,2,6,0,0.07453703703703704,3,0,1,0,0,1
37760.0,20,84,5,38,150,12,28,4,1,6,7,0,317,80,13.9,0,11,0,0.1558531746031746,2,0,1,0,0,1
76995.0,91,1012,80,498,0,16,176,11,4,9,5,0,1782,77,13.3,1,24,1,0.5517195767195767,2,0,0,1,0,1
33812.0,86,4,17,19,30,24,39,2,1,3,6,0,133,41,13.7,1,6,0,0.07943121693121692,2,0,0,0,0,0
37040.0,41,86,2,73,69,38,48,4,2,5,8,0,316,44,14.0,0,11,0,0.15572089947089948,1,0,1,0,0,1
2447.0,42,1,1,1725,1,1,1,0,28,0,1,0,1730,47,13.6,1,28,0,0.5198412698412699,15,0,1,0,0,1
58607.0,63,867,0,86,0,0,19,2,3,9,8,0,972,77,13.6,1,14,1,0.3404100529100529,3,0,0,0,1,1
65324.0,0,384,0,102,21,32,5,6,2,9,4,0,544,72,12.5,1,17,0,0.24837962962962964,3,0,0,0,1,1
40689.0,69,270,3,27,39,6,99,7,1,5,8,0,444,75,13.4,1,13,0,0.19348544973544976,7,0,1,0,0,1
18589.0,89,6,4,25,15,12,13,2,1,3,7,0,75,57,13.6,0,6,0,0.07175925925925926,2,0,1,0,0,0
53359.0,4,173,4,30,3,6,41,5,1,4,7,0,257,50,13.2,2,10,0,0.13749999999999998,4,0,1,0,0,1
51381.5,19,5,1,3,3,263,362,27,0,0,1,0,637,40,13.4,1,27,0,0.3648478835978836,0,0,1,0,0,0
38360.0,26,36,2,42,20,21,10,2,1,4,3,0,131,37,13.2,1,7,0,0.08958333333333333,2,0,1,0,0,1
84618.0,96,684,100,801,21,66,0,6,9,10,2,0,1672,61,12.7,0,25,1,0.5475859788359788,1,0,0,0,1,1
10979.0,34,8,4,10,2,2,4,3,0,3,5,0,30,37,12.2,0,6,0,0.0658068783068783,2,0,0,1,0,0
38620.0,56,112,17,44,34,22,89,2,5,3,3,0,318,63,13.2,0,10,0,0.14556878306878307,1,0,0,1,0,1
40548.0,31,110,0,5,2,0,3,2,1,4,5,0,120,56,13.8,1,7,1,0.15479497354497354,2,0,1,0,0,1
46610.0,8,96,12,96,33,22,43,4,1,6,6,0,302,74,13.7,2,11,1,0.22053571428571428,6,0,0,0,1,0
68657.0,4,482,34,471,119,68,22,3,5,9,7,0,1196,80,13.4,0,17,0,0.3346230158730159,1,0,0,1,0,1
49389.0,55,40,0,19,2,1,3,2,0,3,7,0,65,75,12.9,2,5,0,0.06001984126984127,1,0,0,1,0,0
67353.0,37,702,17,151,0,8,35,5,6,12,2,0,913,56,12.6,1,23,0,0.3596891534391535,5,0,0,0,1,1
23718.0,76,6,3,14,15,7,36,3,1,2,7,0,81,50,12.9,1,6,0,0.07255291005291005,3,0,0,0,0,1
